Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Albani;Stephan;03.06.1968;Göttingen;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch-lutherisch;Diplom-Physiker, Geschäftsführender Gesellschafter;24.10.2017;None
Amtsberg;Luise;17.10.1984;Greifswald;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;{'-self-closing': 'true'};Islamwissenschaftlerin;24.10.2017;None
Baehrens;Heike;21.09.1955;Bevern;None;weiblich;SPD;verheiratet, 2 Kinder;evangelisch;Bankkauffrau, Diplom-Religionspädagogin, Geschäftsführerin;24.10.2017;None
Baerbock;Annalena;15.12.1980;Hannover;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;evangelisch-lutherisch;Völkerrechtlerin;24.10.2017;None
Bahr;Ulrike;25.04.1964;Nördlingen;None;weiblich;SPD;verheiratet;römisch-katholisch;Hauptschullehrerin;24.10.2017;None
Barley;Katarina;19.11.1968;Köln;None;weiblich;SPD;2 Kinder;ohne Angaben;Bundesministerin, Juristin;24.10.2017;None
Bartke;Matthias;16.01.1959;Bremen;None;männlich;SPD;verheiratet, 1 Kind;{'-self-closing': 'true'};Beamter (Leitender Regierungsdirektor) a. D.;24.10.2017;None
Beermann;Maik;19.10.1981;Nienburg (Weser);None;männlich;CDU;geschieden, 3 Kinder;evangelisch;Sparkassenbetriebswirt;24.10.2017;None
Benning;Sybille;08.01.1961;Münster;None;weiblich;CDU;verheiratet, 4 Kinder;ohne Angaben;Dipl.-Ing.;24.10.2017;None
Berghegger;André;05.07.1972;Osnabrück;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Jurist;24.10.2017;None
Brantner;Franziska;24.08.1979;Lörrach;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;ohne Angaben;Sozialwissenschaftlerin;24.10.2017;None
Brunner;Karl-Heinz;14.03.1953;München;None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Wirtschaftsberater;24.10.2017;None
Castellucci;Lars;24.02.1974;Heidelberg;None;männlich;SPD;ledig;evangelisch;Professor für Nachhaltiges Management, Integration-und Diversity Management;24.10.2017;None
Daldrup;Bernhard;01.06.1956;Sendenhorst;None;männlich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Politikwissenschaftler (M.A.),Landesgeschäftsführer SGK NRW;24.10.2017;None
Diaby;Karamba;27.11.1961;Marsassoum, Senegal;None;männlich;SPD;verheiratet, 3 Kinder;ohne Angaben;Diplom-Chemiker;24.10.2017;None
Dittmar;Sabine;15.09.1964;Schweinfurt;None;weiblich;SPD;verheiratet;römisch-katholisch;Ärztin;24.10.2017;None
Donth;Michael;08.06.1967;Metzingen;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Bürgermeister a. D.;24.10.2017;None
Dröge;Katharina;16.09.1984;Münster;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;evangelisch;Volkswirtin;24.10.2017;None
Durz;Hansjörg;29.07.1971;Augsburg;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Bürgermeister a. D., Diplom Kaufmann;24.10.2017;None
Esken;Saskia;28.08.1961;Stuttgart;None;weiblich;SPD;verheiratet, 3 Kinder;ohne Angaben;Staatlich geprüfte Informatikerin;24.10.2017;None
Färber;Hermann;26.03.1963;Böhmenkirch;None;männlich;CDU;verheiratet, 5 Kinder;katholisch;Landwirtschaftsmeister;24.10.2017;None
Fechner;Johannes;25.11.1972;Freiburg im Breisgau;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Rechtsanwalt;24.10.2017;None
