Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Kessler;Achim;02.08.1964;St. Georgen im Schwarzwald;None;männlich;DIE LINKE.;verheiratet;{'-self-closing': 'true'};Literaturwissenschaftler;24.10.2017;None
Kestner;Jens;25.12.1971;Northeim;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Bestatter;24.10.2017;None
Keuter;Stefan;19.08.1972;Essen;None;männlich;AfD;geschieden;römisch-katholisch;Bankkaufmann;24.10.2017;None
Kießling;Michael;29.05.1973;Rütli, Schweiz;None;männlich;CSU;geschieden, 2 Kinder;evangelisch;Dipl.-Bauingenieur, Bürgermeister;24.10.2017;None
Klein;Karsten;02.12.1977;Aschaffenburg;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Kaufmann;24.10.2017;None
Kleinwächter;Norbert;22.02.1986;Augsburg;None;männlich;AfD;ledig;römisch-katholisch;Lehrer;24.10.2017;None
Klinge;Marcel;04.12.1980;Apolda;None;männlich;FDP;ledig;evangelisch;{'-self-closing': 'true'};24.10.2017;None
Willkomm;Katharina;19.02.1987;Düsseldorf;None;weiblich;FDP;verheiratet;römisch-katholisch;Rechtsanwältin;24.10.2017;None
Kluckert;Daniela;22.12.1980;Nürnberg;None;weiblich;FDP;verheiratet;evangelisch-lutherisch;Dipl.-Volkswirtin;24.10.2017;None
Köhler;Lukas;20.08.1986;München;None;männlich;FDP;verheiratet, 2 Kinder;römisch-katholisch;wiss. Mitarbeiter;24.10.2017;None
Komning;Enrico;06.08.1968;Stralsund;None;männlich;AfD;verheiratet, 4 Kinder;{'-self-closing': 'true'};Baufacharbeiter, Volljurist;24.10.2017;None
König;Jörn;29.10.1967;Berlin;None;männlich;AfD;verheiratet, 1 Kind;{'-self-closing': 'true'};Dipl.-Ingenieur (MBA);24.10.2017;None
Konrad;Carina;19.09.1982;Simmern/ Hunsrück;None;weiblich;FDP;verheiratet, 3 Kinder;römisch-katholisch;Dipl.-Agraringenieurin (FH);24.10.2017;None
Korkmaz-Emre;Elvan;27.07.1985;Gütersloh;None;weiblich;SPD;verheiratet;alevitisch;Dipl.-Verwaltungswirtin;24.10.2017;None
Kotré;Steffen;29.04.1971;Berlin;None;männlich;AfD;verheiratet, 1 Kind;{'-self-closing': 'true'};Dipl.-Ingenieur;24.10.2017;None
Kraft;Rainer;08.01.1974;Gräfelfing;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Chemiker;24.10.2017;None
Krauß;Alexander;08.12.1975;Erlabrunn;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch-lutherisch;Politikwissenschaftler;24.10.2017;None
Kuffer;Michael;16.03.1972;München;None;männlich;CSU;4 Kinder;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Kuhle;Konstantin;11.02.1989;Wolfenbüttel;None;männlich;FDP;ledig;{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
Kulitz;Alexander;12.08.1981;Tübingen;None;männlich;FDP;ledig, 1 Kind;{'-self-closing': 'true'};Unternehmer;24.10.2017;None
Lambsdorff;Alexander;05.11.1966;Köln;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Diplomat;24.10.2017;None
Lechte;Ulrich;26.08.1977;Sinsheim;None;männlich;FDP;ledig;römisch-katholisch;Betriebswirt (VWA);24.10.2017;None
Lehmann;Jens;19.12.1967;Stolberg (Harz);None;männlich;CDU;verheiratet, 2 Kinder;evangelisch-lutherisch;Erzieher;24.10.2017;None
Lehmann;Sven;04.12.1979;Troisdorf-Sieglar;None;männlich;BÜNDNIS 90/DIE GRÜNEN;Lebensgemeinschaft;konfessionslos;Politikwissenschaftler / Personalentwickler ö. D.;24.10.2017;None
Lindh;Helge;06.12.1976;Wuppertal;None;männlich;SPD;ledig;evangelisch-lutherisch;wiss. Mitarbeiter;24.10.2017;None
Löbel;Nikolas;17.05.1986;Mannheim;None;männlich;Plos;{'-self-closing': 'true'};{'-self-closing': 'true'};Betriebswirt (B. A,);24.10.2017;None
Loos;Bernhard;30.07.1955;Kaufbeuren;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Unternehmer;24.10.2017;None
Lucassen;Rüdiger;19.08.1951;Dollerupholz;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Kaufmann, Oberst a. D., Unternehmer;24.10.2017;None
Maas;Heiko;19.09.1966;Saarlouis;None;männlich;SPD;2 Kinder;römisch-katholisch;Volljurist, Bundesminister;24.10.2017;None
Magnitz;Frank;29.06.1952;Neuenkirchen;None;männlich;AfD;verheiratet, 6 Kinder;konfessionslos;Immobilienkaufmann, Bankkaufmann, Dipl.-Pädagoge;24.10.2017;None
Maier;Jens;10.02.1962;Bremen;None;männlich;AfD;verheiratet, 2 Kinder;evangelisch-lutherisch;Volljurist;24.10.2017;None
Maier;Lothar;19.06.1944;Wolfach;None;männlich;AfD;ledig;religionslos;Hochschullehrer;24.10.2017;None
Malsack-Winkemann;Birgit;12.08.1964;Darmstadt;None;weiblich;AfD;geschieden, 2 Kinder;{'-self-closing': 'true'};Juristin;24.10.2017;None
Mannes;Astrid;02.01.1967;Hilden;None;weiblich;CDU;verheiratet;evangelisch;Historikerin, Bürgermeisterin a.D.;24.10.2017;None
Mansmann;Till;08.01.1968;Mannheim-Neckarau;None;männlich;FDP;verheiratet, 1 Kind;alt-katholisch;Dipl.-Physiker;24.10.2017;None
Martens;Jürgen;03.08.1959;München;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Rechtsanwalt / Staatsminister a. D.;24.10.2017;None
De Masi;Fabio;07.03.1980;Groß-Gerau;None;männlich;DIE LINKE.;ledig, 1 Kind;römisch-katholisch;Volkswirt;24.10.2017;None
Meiser;Pascal;07.03.1975;Saarbrücken;None;männlich;DIE LINKE.;ledig;konfessionslos;Dipl.-Politikwissenschaftler;24.10.2017;None
Meyer;Christoph;30.08.1975;Berlin;None;männlich;FDP;verheiratet;konfessionslos;Bankkaufmann, Volljurist;24.10.2017;None
Miazga;Corinna;17.05.1983;Oldenburg;None;weiblich;AfD;verheiratet;konfessionslos;Angestellte in der Automobilindustrie;24.10.2017;None
Mieruch;Mario;16.08.1975;Magdeburg;None;männlich;Plos;verheiratet;{'-self-closing': 'true'};Dipl.-Ing. Mechatronik (B. A.);24.10.2017;None
Mohamed Ali;Amira;16.01.1980;Hamburg;None;weiblich;DIE LINKE.;verheiratet;muslimisch;Rechtsanwältin, Volljurist;24.10.2017;None
Mohrs;Falko;23.07.1984;Wolfsburg;None;männlich;SPD;ledig;konfessionslos;Dipl.-Kaufmann (FH) / Speditionskaufmann;24.10.2017;None
Moll;Claudia;15.12.1968;Eschweiler;None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Altenpflegerin;24.10.2017;None
Möller;Siemtje;20.07.1983;Emden;None;weiblich;SPD;ledig, 2 Kinder;{'-self-closing': 'true'};Lehrerin (StRin);24.10.2017;None
Mrosek;Andreas;18.01.1958;Dessau;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Ing. für Schiffsführung;24.10.2017;None
Müller;Alexander;17.07.1969;Bendorf am Rhein;None;männlich;FDP;verheiratet, 4 Kinder;{'-self-closing': 'true'};Dipl.-Informatiker;24.10.2017;None
Müller;Axel;24.07.1963;Esslingen am Neckar;None;männlich;CDU;ledig;römisch-katholisch;Richter, Volljurist;24.10.2017;None
Müller;Claudia;10.08.1981;Rostock;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Betriebswirtin;24.10.2017;None
Müller;Hansjörg;30.04.1968;Treuchtlingen;None;männlich;AfD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Dipl.-Volkswirt;24.10.2017;None
Müller;Sepp;22.01.1989;Lutherstadt Wittenberg;None;männlich;CDU;ledig, 1 Kind;{'-self-closing': 'true'};Dipl.-Bankbetriebswirt (FS);24.10.2017;None
Müller-Böhm;Roman;12.12.1992;Essen;None;männlich;FDP;ledig;konfessionslos;Student;24.10.2017;None
Müller-Rosentritt;Frank;13.06.1982;Karl-Marx-Stadt (jetzt Chemnitz);None;männlich;FDP;verheiratet, 3 Kinder;konfessionslos;Dipl.-Betriebswirt;24.10.2017;None
Münz;Volker;08.08.1964;Verden (Niedersachsen);None;männlich;AfD;verheiratet, 2 Kinder;evangelisch;Bankkaufmann, Dipl.-Ökonom;24.10.2017;None
Münzenmaier;Sebastian;02.07.1989;Darmstadt;None;männlich;AfD;ledig;römisch-katholisch;Versicherungs- und Finanzanlagenfachmann;24.10.2017;None
Nastic;Zaklin;29.01.1980;Gdynia, Polen;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;orthodox;Angehörigenpflegerin;24.10.2017;None
Neumann;Christoph;07.11.1964;Leipzig;None;männlich;AfD;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Ing. Pädagoge, Unternehmer;24.10.2017;None
Nicolaisen;Petra;12.12.1965;Schleswig;None;weiblich;CDU;verheiratet, 2 Kinder;evangelisch;Industriekauffrau;24.10.2017;None
Nolte;Jan Ralf;30.12.1988;Bremen;None;männlich;AfD;verlobt;russisch-orthodox;Soldat;24.10.2017;None
Oehme;Ulrich;17.02.1960;Bischofswerda;None;männlich;AfD;verheiratet, 2 Kinder;römisch-katholisch;Versicherungsmakler, Dipl.-Ingenieur;24.10.2017;None
Ortleb;Josephine;25.11.1986;Saarbrücken;None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Fachwirtin im Gastgewerbe;24.10.2017;None
Oster;Josef;04.01.1971;Zell (Mosel);None;männlich;CDU;{'-self-closing': 'true'};römisch-katholisch;Bürgermeister a. D., Dipl.-Verwaltungswirt;24.10.2017;None
Otten;Gerold;07.12.1955;Lübberstedt;None;männlich;AfD;verheiratet, 1 Kind;{'-self-closing': 'true'};Major a. D. / Oberst d. R.;24.10.2017;None
Pasemann;Frank;21.04.1960;Magdeburg;None;männlich;Plos;verheiratet, 2 Kinder;konfessionslos;selbständig;24.10.2017;None
Pellmann;Sören;11.02.1977;Leipzig;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Grund- und Förderschullehrer;24.10.2017;None
Perli;Victor;01.02.1982;Bad Oeynhausen;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Geschäftsführer / Politikwissenschaftler;24.10.2017;None
Peterka;Tobias Matthias;04.09.1982;Achern;None;männlich;AfD;ledig;{'-self-closing': 'true'};Jurist;24.10.2017;None
Petry;Frauke;01.06.1975;Dresden;None;weiblich;Plos;verheiratet, 5 Kinder;evangelisch;Dipl.-Chemikerin;24.10.2017;None
Pflüger;Tobias;01.02.1965;Stuttgart;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};wiss. Angestellter;24.10.2017;None
Pilsinger;Stephan;17.02.1987;München;None;männlich;CSU;ledig;römisch-katholisch;Arzt;24.10.2017;None
Ploß;Christoph;19.07.1985;Hamburg;None;männlich;CDU;{'-self-closing': 'true'};evangelisch-lutherisch;Historiker;24.10.2017;None
Podolay;Paul Viktor;30.05.1946;Preßburg / Slowakei;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Medizintechniker;24.10.2017;None
Pohl;Jürgen;07.01.1964;Magdeburg;None;männlich;AfD;verheiratet, 1 Kind;ohne Angaben;Rechtsanwalt;24.10.2017;None
Polat;Filiz;11.07.1978;Bramsche;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Volkswirtin;24.10.2017;None
Protschka;Stephan;08.11.1977;Dingolfing;None;männlich;AfD;verheiratet, 2 Kinder;römisch-katholisch;selbständig;24.10.2017;None
Reichardt;Martin;30.07.1969;Goslar;None;männlich;AfD;verheiratet, 3 Kinder;evangelisch-lutherisch;Angestellter;24.10.2017;None
Renner;Martin Erwin;05.05.1954;Reutlingen;None;männlich;AfD;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Betriebswirt;24.10.2017;None
Reusch;Roman Johannes;03.02.1954;Düsseldorf;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Volljurist, Oberstaatsanwalt;24.10.2017;None
Reuther;Bernd;01.05.1971;Wesel;None;männlich;FDP;verheiratet, 1 Kind;katholisch;Dipl.-Sozialwissenschaftler, Angestellter;24.10.2017;None
Riexinger;Bernd;30.10.1955;Leonberg;None;männlich;DIE LINKE.;{'-self-closing': 'true'};konfessionslos;Bankkaufmann, Gewerkschaftssekretär;24.10.2017;None
Rottmann;Manuela;09.05.1972;Würzburg;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;{'-self-closing': 'true'};{'-self-closing': 'true'};Juristin;24.10.2017;None
Rouenhoff;Stefan;23.12.1978;Goch;None;männlich;CDU;ledig;römisch-katholisch;Dipl.-Volkswirt, ORR a. D.;24.10.2017;None
Sattelberger;Thomas;05.06.1949;Munderkingen;None;männlich;FDP;Lebensgemeinschaft;konfessionslos;Dipl.-Betriebswirt;24.10.2017;None
Sauer;Stefan;14.01.1966;Rüsselsheim;None;männlich;CDU;verheiratet;evangelisch;Bürgermeister a. D., Dipl.-Kaufmann;24.10.2017;None
Sauter;Christian;11.02.1980;Rinteln;None;männlich;FDP;ledig;römisch-katholisch;Dipl.-Wirtschaftsingenieur (FH);24.10.2017;None
Schielke-Ziesing;Ulrike;17.06.1969;Neubrandenburg;None;weiblich;AfD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Verwaltungswirtin;24.10.2017;None
Schinnenburg;Wieland;12.11.1958;Norden;None;männlich;FDP;verheiratet, 3 Kinder;{'-self-closing': 'true'};Zahnarzt, Rechtsanwalt;24.10.2017;None
Schlund;Robby;19.02.1967;Gera;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Facharzt für Orthopädie;24.10.2017;None
Schmid;Nils;11.07.1973;Trier;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Volljurist;24.10.2017;None
Schmidt;Stefan;19.05.1981;Freystadt;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;{'-self-closing': 'true'};wiss. Angestellter;24.10.2017;None
Schmidt;Uwe;14.02.1966;Bremerhaven;None;männlich;SPD;verheiratet, 1 Kind;evangelisch;Hafenfacharbeiter;24.10.2017;None
Schmidtke;Claudia;29.03.1966;Neumünster;None;weiblich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Herzchirurgin, Ärztin;24.10.2017;None
Schneider;Jörg;14.05.1964;Solingen;None;männlich;AfD;geschieden;{'-self-closing': 'true'};Dipl.-Wirtschaftsingenieur;24.10.2017;None
Schraps;Johannes;17.08.1983;Bad Pyrmont;None;männlich;SPD;ledig;evangelisch-lutherisch;Politikwissenschaftler;24.10.2017;None
Schreiber;Eva-Maria;12.03.1958;Köln;None;weiblich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Ethnologin;24.10.2017;None
Schreiner;Felix;29.01.1986;Waldshut-Tiengen;None;männlich;CDU;verheiratet;evangelisch;Verwaltungsangestellter, Vorstandsreferent;24.10.2017;None
Schrodi;Michael;03.07.1977;München;None;männlich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Studienrat;24.10.2017;None
Schüle;Manja;04.08.1976;Frankfurt (Oder);None;weiblich;SPD;verheiratet, 1 Kind;konfessionslos;Angestellte;24.10.2017;None
Schulz;Martin;20.12.1955;Hehlrath (jetzt Eschweiler);None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Buchhändler;24.10.2017;None
Schulz;Uwe;12.12.1961;Gießen;None;männlich;AfD;verheiratet;{'-self-closing': 'true'};ltd. Angestellter;24.10.2017;None
Schweiger;Torsten;29.02.1968;Gräfenhainichen;None;männlich;CDU;verheiratet, 1 Kind;religionslos;Dipl.-Ingenieur;24.10.2017;None
Seestern-Pauly;Matthias;28.02.1984;Osnabrück;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Gymnasiallehrer;24.10.2017;None
Seitz;Thomas;08.10.1967;Ettenheim;None;männlich;AfD;verheiratet, 2 Kinder;konfessionslos;Staatsanwalt a. D., Volljurist;24.10.2017;None
Sichert;Martin;10.06.1980;Nürnberg;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Kaufmann;24.10.2017;None
Simon;Björn;18.05.1981;Offenbach am Main;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Politikwissenschaftler;24.10.2017;None
Sitta;Frank;30.06.1978;Sangerhausen;None;männlich;FDP;verheiratet, 2 Kinder;konfessionslos;Geschäftsführer, Dipl.-Politikwissenschaftler;24.10.2017;None
Sommer;Helin Evrim;07.02.1971;Varto, Türkei;None;weiblich;DIE LINKE.;verheiratet, 1 Kind;konfessionslos;wiss. Mitarbeiterin, staatl. geprüfte Übersetzerin;24.10.2017;None
Spangenberg;Detlev;10.04.1944;Chemnitz;None;männlich;AfD;verheiratet, 1 Kind;evangelisch-lutherisch;Dipl.-Betriebswirt;24.10.2017;None
Spaniel;Dirk;03.11.1971;Marburg;None;männlich;AfD;verheiratet, 1 Kind;{'-self-closing': 'true'};Dipl.-Ingenieur;24.10.2017;None
Springer;René;15.07.1979;Berlin;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Angestellter;24.10.2017;None
Staffler;Katrin;04.11.1981;Dachau;None;weiblich;CSU;verheiratet;römisch-katholisch;Biochemikerin (M. Sc.);24.10.2017;None
Stark-Watzinger;Bettina;12.05.1968;Frankfurt am Main;None;weiblich;FDP;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Volkswirtin;24.10.2017;None
Steier;Andreas;07.01.1972;Trier;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Dipl.-Ingenieur;24.10.2017;None
Stein;Mathias;21.02.1970;Kiel;None;männlich;SPD;eheähnl. Lebensgemeinschaft, 1 Kind;{'-self-closing': 'true'};Bautechniker, Wasserbauer;24.10.2017;None
Storch;Beatrix;27.05.1971;Lübeck;None;weiblich;AfD;verheiratet;evangelisch;Rechtsanwältin;24.10.2017;None
Strack-Zimmermann;Marie-Agnes;10.03.1958;Düsseldorf;None;weiblich;FDP;verheiratet, 3 Kinder;römisch-katholisch;selbst. Verlagsrepräsentantin;24.10.2017;None
Straetmanns;Friedrich;05.08.1961;Bielefeld;None;männlich;DIE LINKE.;verheiratet, 3 Kinder;evangelisch-lutherisch;Richter;24.10.2017;None
Strasser;Benjamin;09.02.1987;Weingarten;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
Stumpp;Margit;13.04.1963;Mengen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Ing. (FH) Feinwerktechnik, Lehrerin;24.10.2017;None
Suding;Katja;30.12.1975;Vechta;None;weiblich;FDP;geschieden, 2 Kinder;{'-self-closing': 'true'};Kommunikationsberaterin;24.10.2017;None
Tatti;Jessica;22.04.1981;Marbach am Neckar;None;weiblich;DIE LINKE.;ledig;evangelisch;Sozialarbeiterin (B. A.);24.10.2017;None
Tebroke;Hermann-Josef;19.01.1964;Rhede (Westf.);None;männlich;CDU;verheiratet, 4 Kinder;römisch-katholisch;Landrat, Diplomkaufmann;24.10.2017;None
Teuteberg;Linda;22.04.1981;Königs Wusterhausen;None;weiblich;FDP;verheiratet;evangelisch;Rechtsanwältin;24.10.2017;None
Theurer;Michael;12.01.1967;Tübingen;None;männlich;FDP;verheiratet, 1 Kind;evangelisch;Oberbürgermeister a. D., Dipl.-Volkswirt;24.10.2017;None
Thies;Hans-Jürgen;11.08.1955;Celle;None;männlich;CDU;verheiratet;evangelisch;Rechtsanwalt;24.10.2017;None
Throm;Alexander;08.09.1968;Heilbronn;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Rechtsanwalt, Volljurist;24.10.2017;None
Tiemann;Dietlind;30.08.1955;Genthin;None;weiblich;CDU;verheiratet, 1 Kind;katholisch;Oberbürgermeisterin a. D.;24.10.2017;None
Töns;Markus;01.01.1964;Gelsenkirchen;None;männlich;SPD;getrennt lebend, 3 Kinder;römisch-katholisch;Politologe;24.10.2017;None
Ullmann;Andrew;02.01.1963;Los Angeles;None;männlich;FDP;verheiratet, 2 Kinder;römisch-katholisch;Facharzt für Innere Medizin;24.10.2017;None
Ullrich;Gerald;23.12.1962;Schmalkalden;None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;Elektro.-Ing.;24.10.2017;None
Vieregge;Kerstin;06.09.1976;Rinteln;None;weiblich;CDU;ledig;evangelisch-reformiert;Betriebswirtin;24.10.2017;None
Vries;Christoph;04.12.1974;Hamburg;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Dipl.-Soziologe / ltd. Angestellter;24.10.2017;None
Wagner;Andreas;16.04.1972;Bad Tölz;None;männlich;DIE LINKE.;verheiratet, 3 Kinder;evangelisch;Werkzeugmacher, Heilerziehungspfleger;24.10.2017;None
Weeser;Sandra;08.09.1969;Siegen-Weidenau;None;weiblich;FDP;verheiratet, 2 Kinder;evangelisch;Betriebswirtin (VWA);24.10.2017;None
Weidel;Alice;06.02.1979;Gütersloh;None;weiblich;AfD;eheähnl. Lebensgemeinschaft, 2 Kinder;{'-self-closing': 'true'};Dipl.-Kauffrau, Dipl.-Volkswirtin;24.10.2017;None
Westig;Nicole;13.11.1967;Menden (Sauerland);None;weiblich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Fundraiserin;24.10.2017;None
Weyel;Harald;30.08.1959;Herborn (Dillkreis);None;männlich;AfD;geschieden, 1 Kind;{'-self-closing': 'true'};Professor der Betriebswirtschaft;24.10.2017;None
Wiehle;Wolfgang;20.10.1964;München;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};IT-Berater / Dipl.-Informatiker;24.10.2017;None
Wiesmann;Bettina Margarethe;20.10.1966;Berlin;None;weiblich;CDU;verheiratet, 4 Kinder;evangelisch-lutherisch;Unternehmensberaterin;24.10.2017;None
Wildberg;Heiko;19.05.1952;Wilhelmshaven;None;männlich;AfD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Dipl.-Geologe;24.10.2017;None
Wirth;Christian;27.04.1963;Neunkrichen (Saar);None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
Witt;Uwe;01.10.1959;Witten;None;männlich;AfD;geschieden;römisch-katholisch;Dipl.-Personalwirt, Betriebsschlosser, Staatl. gepr. Techniker;24.10.2017;None
Ziemiak;Paul;06.09.1985;Stettin;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Angestellter / Student;24.10.2017;None
Jensen;Gyde;14.08.1989;Rendsburg;None;weiblich;FDP;ledig;evangelisch;Politikwissenschaftlerin;24.10.2017;None
Völlers;Marja-Liisa;28.09.1984;Bückeburg;None;weiblich;SPD;ledig;evangelisch-lutherisch;Studienrätin;23.11.2017;None
Zickenheiner;Gerhard;01.04.1961;Lörrach;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;konfessionslos;Dipl.-Ing. (FH) Architekt;01.01.2019;None
Baradari;Nezahat;15.08.1965;Ankara;None;weiblich;SPD;verheiratet, 2 Kinder;muslimisch;Fachärztin für Kinder- und Jugendmedizin;07.01.2019;None
Heidt;Peter;28.04.1965;Frankfurt am Main;None;männlich;FDP;geschieden, 2 Kinder;evangelisch;Rechtsanwalt;01.07.2019;None
Mackensen;Isabel;29.09.1986;Schwetzingen;None;weiblich;SPD;ledig;evangelisch;Politikwissenschaftlerin;02.07.2019;None
Weingarten;Joe;17.03.1962;Bad Kreuznach;None;männlich;SPD;verheiratet, 3 Kinder;evangelisch;Dipl.-Verwaltungswissenschaftler, Ministerialdirigent a. D.;01.11.2019;None
Schneidewind-Hartnagel;Charlotte;02.09.1953;Göttingen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;{'-self-closing': 'true'};Dipl.-Betriebswirtin;01.11.2019;None
Hanke;Reginald;25.08.1956;Schwerin;None;männlich;FDP;verheiratet, 3 Kinder;konfessionslos;Malermeister;15.11.2019;None
Lehmann;Sylvia;23.04.1954;Schorbus;None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Ingenieurökonomin;03.12.2019;None
Ludwig;Saskia;23.05.1968;Potsdam;None;weiblich;SPD;verheiratet, 2 Kinder;konfessionslos;Diplom-Kauffrau;03.12.2019;None
Bubendorfer-Licht;Sandra;05.09.1969;Mühldorf a. Inn;None;weiblich;FDP;verheiratet, 2 Kinder;katholisch;Dolmetscherin;09.12.2019;None
Bach;Bela;30.09.1990;Magdeburg;None;weiblich;SPD;ledig;{'-self-closing': 'true'};Juristin;04.02.2020;None
Nölke;Matthias;08.01.1980;Kassel;None;männlich;FDP;ledig;konfessionslos;Jurist;28.04.2020;None
Martin;Dorothee;21.01.1978;{'-self-closing': 'true'};None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Selbstständige Kommunikationsberaterin;11.05.2020;None
Wetzel;Wolfgang;11.05.1968;Schlema;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Sozialpädagoge;21.10.2020;None
Natterer;Christian;19.02.1981;Tettnang / Deutschland;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Dipl.-Kaufmann (Univ.);11.11.2020;None
Dahmen;Janosch;06.09.1981;{'-self-closing': 'true'};None;männlich;BÜNDNIS 90/DIE GRÜNEN;{'-self-closing': 'true'};{'-self-closing': 'true'};Arzt;12.11.2020;None
