partei_id;Name;Vorname;vote
CDU/CSU;Wadephul;Johann David;1
CDU/CSU;Wanderwitz;Marco;1
CDU/CSU;Warken;Nina;1
CDU/CSU;Wegner;Kai;1
CDU/CSU;Weiler;Albert H.;4
CDU/CSU;Weinberg;Marcus;1
CDU/CSU;Weisgerber;Anja;1
CDU/CSU;Weiß;Peter;1
CDU/CSU;Weiss;Sabine;1
CDU/CSU;Wellenreuther;Ingo;1
CDU/CSU;Wendt;Marian;1
CDU/CSU;Whittaker;Kai;1
CDU/CSU;Widmann-Mauz;Annette;1
CDU/CSU;Wiesmann;Bettina Margarethe;1
CDU/CSU;Willsch;Klaus-Peter;1
CDU/CSU;Winkelmeier-Becker;Elisabeth;4
CDU/CSU;Wittke;Oliver;1
CDU/CSU;Zeulner;Emmi;1
CDU/CSU;Ziemiak;Paul;1
CDU/CSU;Zimmer;Matthias;1
SPD;Annen;Niels;1
SPD;Arndt-Brauer;Ingrid;1
SPD;Baehrens;Heike;1
SPD;Bahr;Ulrike;1
SPD;Baradari;Nezahat;1
SPD;Barnett;Doris;1
SPD;Bartke;Matthias;1
SPD;Bartol;Sören;1
SPD;Bas;Bärbel;1
SPD;Binding;Lothar;1
SPD;Brecht;Eberhard;1
SPD;Breymaier;Leni;1
SPD;Brunner;Karl-Heinz;4
SPD;Budde;Katrin;1
SPD;Burkert;Martin;4
SPD;Castellucci;Lars;1
SPD;Daldrup;Bernhard;1
SPD;De Ridder;Daniela;4
SPD;Diaby;Karamba;1
SPD;Dilcher;Esther;1
SPD;Dittmar;Sabine;1
SPD;Esdar;Wiebke;1
SPD;Esken;Saskia;1
SPD;Fahimi;Yasmin;1
SPD;Fechner;Johannes;1
SPD;Felgentreu;Fritz;1
SPD;Franke;Edgar;1
SPD;Freese;Ulrich;1
SPD;Freitag;Dagmar;1
SPD;Gerdes;Michael;4
SPD;Gerster;Martin;1
SPD;Glöckner;Angelika;1
SPD;Gremmels;Timon;4
SPD;Griese;Kerstin;1
SPD;Groß;Michael;4
SPD;Grötsch;Uli;4
SPD;Hagedorn;Bettina;1
SPD;Hagl-Kehl;Rita;1
SPD;Hakverdi;Metin;1
SPD;Hartmann;Sebastian;4
SPD;Heidenblut;Dirk;1
SPD;Heil;Hubertus;1
SPD;Heinrich;Gabriela;4
SPD;Held;Marcus;1
SPD;Hellmich;Wolfgang;1
